id,campus,capa,intermediacion_norm,es_articulacion,participacion_corte,daño_cascada,indice_compuesto
INTERNET-MPLS,Nube MPLS,wan,0.818,true,0,0.056,0.6819
BAL-AUL2-D1,Campus Balzay,agregacion,0.248,true,10,0.006,0.5847
DATCC-2A-C3,Campus Central,core,1.0,false,3,0.051,0.5295
CPAR-C10,Campus Paraiso,core,0.905,true,1,0.006,0.524
ROUTER-CAMPUS-HUAYNA-CAPAC,Campus Paraiso,wan,0.82,true,1,0.006,0.5027
BAL-CENTEC-D2,Campus Balzay,agregacion,0.126,true,5,0.006,0.4292
BAL-AUL1-D4,Campus Balzay,agregacion,0.101,true,4,0.006,0.3979
HOS-0A-D05,Campus Hospitalidad,agregacion,0.101,true,4,0.006,0.3979
CB-EADMI-D6,Campus Balzay,agregacion,0.15,true,3,0.006,0.3852
FORTIGATE-1800F-CENTRAL,Campus Central,interconexion,0.417,false,2,0.056,0.3815
ROUTER-CAMPUS-YANUNCAY,Campus Yanuncay,wan,0.286,true,1,0.006,0.3692
AGRPRI-1A-D10,Campus Yanuncay,agregacion,0.272,true,1,0.006,0.3657
CC-ARQUITECTURA-D107,Campus Central,agregacion,0.271,true,0,0.006,0.3406
CCJ-CJURIDICO-D4,Campus Central,agregacion,0.051,true,2,0.006,0.3354
FORTIGATE-1800F-BALZAY,Campus Balzay,interconexion,0.334,false,0,0.062,0.3334
CP-EADMINA1-D6,Campus Paraiso,agregacion,0.199,true,0,0.006,0.3226
PE2-CENTRAL,Campus Central,wan,0.645,false,1,0.034,0.3226
CP-ODONTOLOGIA-D4,Campus Paraiso,agregacion,0.199,true,0,0.006,0.3224
CC-MONJAS-D126,Campus Central,agregacion,0.175,true,0,0.006,0.3164
BAL-EADM-D3,Campus Balzay,agregacion,0.051,true,1,0.006,0.3104
CP-POSGRADO-D2,Campus Paraiso,agregacion,0.15,true,0,0.006,0.3103
CC-ECONOMIA-D51,Campus Central,agregacion,0.15,true,0,0.006,0.3102
CC-ADM-D40,Campus Central,agregacion,0.126,true,0,0.006,0.3042
CP-INVESTIGACION-D5,Campus Paraiso,agregacion,0.126,true,0,0.006,0.3041
CP-TECMEDICO-D3,Campus Paraiso,agregacion,0.126,true,0,0.006,0.3041
QUIN-1A-A117,Campus Balzay,acceso,0.025,true,1,0.006,0.3041
CC-FILOSOFIA-A-D108,Campus Central,agregacion,0.125,true,0,0.006,0.304
CC-JURISPRUDENCIA-D110,Campus Central,agregacion,0.101,true,0,0.006,0.2979
CC-QUIMICA-D109,Campus Central,agregacion,0.101,true,0,0.006,0.2979
CC-AETUC-D30,Campus Central,agregacion,0.076,true,0,0.006,0.2917
CC-PROMAS-D31,Campus Central,agregacion,0.076,true,0,0.006,0.2917
CP-ENFERMERIA-D1,Campus Paraiso,agregacion,0.076,true,0,0.006,0.2917
CC-BIBLIOTECA-D112,Campus Central,agregacion,0.051,true,0,0.006,0.2854
CC-FILOSOFIA-B-D111,Campus Central,agregacion,0.051,true,0,0.006,0.2854
CC-PSICOLOGIA-D125,Campus Central,agregacion,0.051,true,0,0.006,0.2854
ODO-0C-A53,Campus Paraiso,acceso,0.051,true,0,0.006,0.2854
POST-1A-A64,Campus Central,acceso,0.051,true,0,0.006,0.2854
TECQUI-0A-A10,Campus Central,acceso,0.051,true,0,0.006,0.2854
DATCC-2A-C2,Campus Central,core,0.382,false,2,0.034,0.2818
AETUC-0A-A76,Campus Central,acceso,0.025,true,0,0.006,0.2791
ARQ-0A-A85,Campus Central,acceso,0.025,true,0,0.006,0.2791
ARQ-0D-A88,Campus Central,acceso,0.025,true,0,0.006,0.2791
ARQ-1E-A91,Campus Central,acceso,0.025,true,0,0.006,0.2791
ENF-2B-A22,Campus Paraiso,acceso,0.025,true,0,0.006,0.2791
INV-1B-A62,Campus Paraiso,acceso,0.025,true,0,0.006,0.2791
MON-1B-A67,Campus Central,acceso,0.025,true,0,0.006,0.2791
ODO-0B-A52,Campus Paraiso,acceso,0.025,true,0,0.006,0.2791
POS-2C-A33,Campus Paraiso,acceso,0.025,true,0,0.006,0.2791
POST-1A-A65,Campus Central,acceso,0.025,true,0,0.006,0.2791
PRO-1A-A73,Campus Central,acceso,0.025,true,0,0.006,0.2791
QUI-2A-A82,Campus Central,acceso,0.025,true,0,0.006,0.2791
TECMED-1A-A41,Campus Paraiso,acceso,0.025,true,0,0.006,0.2791
DT-0A-C13,Campus Balzay,core,0.5,false,0,0.034,0.2614
PE2-BALZAY,Campus Balzay,wan,0.327,false,0,0.034,0.2181
ROUTER-L2TP-BALZAY,Campus Balzay,wan,0.032,false,4,0.017,0.1761
DT-0A-C12,Campus Balzay,core,0.186,false,0,0.028,0.1603
PE1-CENTRAL,Campus Central,wan,0.151,false,0,0.023,0.1287
ROUTER-CAMPUS-PARAISO,Campus Paraiso,wan,0.228,false,0,0.017,0.1252
SW-ARUBA-CENTRO-HISTORICO,Sede Centro Historico,acceso,0.022,false,1,0.023,0.1213
ROUTER-CAMPUS-CENTRO-HISTORICO,Sede Centro Historico,wan,0.01,false,2,0.017,0.1206
ROUTER-CAMPUS-MUSEO,Sede Museo,wan,0.01,false,2,0.017,0.1206
SW-ARUBA-MUSEO,Sede Museo,acceso,0.016,false,1,0.023,0.12
AUL1-2A-A110,Campus Balzay,acceso,0.0,false,1,0.006,0.0477
AUL1-2A-A111,Campus Balzay,acceso,0.0,false,1,0.006,0.0477
AUL1-3A-A104,Campus Balzay,acceso,0.0,false,1,0.006,0.0477
