puesto,id_grado,grado,id_cercania,cercania,id_intermediacion,intermediacion,id_vector_propio,vector_propio
1,DATCC-2A-C3,17.0,INTERNET-MPLS,0.2759,DATCC-2A-C3,0.4468,DATCC-2A-C3,0.5022
2,DATCC-2A-C2,16.0,DATCC-2A-C3,0.2683,CPAR-C10,0.4043,DATCC-2A-C2,0.4818
3,AGRPRI-1A-D10,12.0,PE2-CENTRAL,0.2667,ROUTER-CAMPUS-HUAYNA-CAPAC,0.3663,FORTIGATE-1800F-CENTRAL,0.2005
4,BAL-AUL2-D1,12.0,FORTIGATE-1800F-CENTRAL,0.2596,INTERNET-MPLS,0.3657,CC-ARQUITECTURA-D107,0.1977
5,CC-ARQUITECTURA-D107,10.0,PE1-CENTRAL,0.2562,PE2-CENTRAL,0.2881,CC-MONJAS-D126,0.1855
6,CP-EADMINA1-D6,9.0,PE1-BALZAY,0.2511,DT-0A-C13,0.2235,CC-ADM-D40,0.1799
7,CC-MONJAS-D126,8.0,DATCC-2A-C2,0.2475,FORTIGATE-1800F-CENTRAL,0.1863,CC-ECONOMIA-D51,0.1751
8,DT-0A-C13,8.0,ROUTER-CAMPUS-HUAYNA-CAPAC,0.2421,DATCC-2A-C2,0.1706,CC-JURISPRUDENCIA-D110,0.1748
9,INTERNET-MPLS,8.0,FORTIGATE-1800F-BALZAY,0.2408,FORTIGATE-1800F-BALZAY,0.149,CC-FILOSOFIA-A-D108,0.1701
10,BAL-CENTEC-D2,7.0,PE2-BALZAY,0.2385,PE2-BALZAY,0.146,CC-QUIMICA-D109,0.1701
