id,campus,capa,grado
AETUC-0A-A76,Campus Central,acceso,2
AGRPRI-1A-D10,Campus Yanuncay,agregacion,12
ARQ-0A-A85,Campus Central,acceso,2
ARQ-0D-A88,Campus Central,acceso,2
ARQ-1E-A91,Campus Central,acceso,2
BAL-AUL1-D4,Campus Balzay,agregacion,6
BAL-AUL2-D1,Campus Balzay,agregacion,12
BAL-CENTEC-D2,Campus Balzay,agregacion,7
BAL-EADM-D3,Campus Balzay,agregacion,2
CB-EADMI-D6,Campus Balzay,agregacion,6
CC-ADM-D40,Campus Central,agregacion,7
CC-AETUC-D30,Campus Central,agregacion,4
CC-ARQUITECTURA-D107,Campus Central,agregacion,10
CC-BIBLIOTECA-D112,Campus Central,agregacion,4
CC-ECONOMIA-D51,Campus Central,agregacion,6
CC-FILOSOFIA-A-D108,Campus Central,agregacion,5
CC-FILOSOFIA-B-D111,Campus Central,agregacion,4
CC-JURISPRUDENCIA-D110,Campus Central,agregacion,6
CC-MONJAS-D126,Campus Central,agregacion,8
CC-PROMAS-D31,Campus Central,agregacion,4
CC-PSICOLOGIA-D125,Campus Central,agregacion,4
CC-QUIMICA-D109,Campus Central,agregacion,5
CCJ-CJURIDICO-D4,Campus Central,agregacion,3
CP-EADMINA1-D6,Campus Paraiso,agregacion,9
CP-ENFERMERIA-D1,Campus Paraiso,agregacion,3
CP-INVESTIGACION-D5,Campus Paraiso,agregacion,5
CP-ODONTOLOGIA-D4,Campus Paraiso,agregacion,6
CP-POSGRADO-D2,Campus Paraiso,agregacion,6
CP-TECMEDICO-D3,Campus Paraiso,agregacion,5
CPAR-C10,Campus Paraiso,core,7
ENF-2B-A22,Campus Paraiso,acceso,2
HOS-0A-D05,Campus Hospitalidad,agregacion,5
INTERNET-MPLS,Nube MPLS,wan,8
INV-1B-A62,Campus Paraiso,acceso,2
MON-1B-A67,Campus Central,acceso,2
ODO-0B-A52,Campus Paraiso,acceso,2
ODO-0C-A53,Campus Paraiso,acceso,3
POS-2C-A33,Campus Paraiso,acceso,2
POST-1A-A64,Campus Central,acceso,2
POST-1A-A65,Campus Central,acceso,2
PRO-1A-A73,Campus Central,acceso,2
QUI-2A-A82,Campus Central,acceso,2
QUIN-1A-A117,Campus Balzay,acceso,2
ROUTER-CAMPUS-HUAYNA-CAPAC,Campus Paraiso,wan,3
ROUTER-CAMPUS-YANUNCAY,Campus Yanuncay,wan,3
TECMED-1A-A41,Campus Paraiso,acceso,2
TECQUI-0A-A10,Campus Central,acceso,3
