id,campus,enlaces_a_core
AGRPRI-1A-D10,Campus Yanuncay,0
BAL-AUL1-D4,Campus Balzay,2
BAL-AUL2-D1,Campus Balzay,2
BAL-CENTEC-D2,Campus Balzay,2
BAL-EADM-D3,Campus Balzay,0
CB-EADMI-D6,Campus Balzay,2
CC-ADM-D40,Campus Central,2
CC-AETUC-D30,Campus Central,2
CC-ARQUITECTURA-D107,Campus Central,2
CC-BIBLIOTECA-D112,Campus Central,2
CC-BLOQUE-IQ,Campus Central,2
CC-ECONOMIA-D51,Campus Central,2
CC-FILOSOFIA-A-D108,Campus Central,2
CC-FILOSOFIA-B-D111,Campus Central,2
CC-JURISPRUDENCIA-D110,Campus Central,2
CC-MONJAS-D126,Campus Central,2
CC-PROMAS-D31,Campus Central,2
CC-PSICOLOGIA-D125,Campus Central,2
CC-QUIMICA-D109,Campus Central,2
CCJ-CJURIDICO-D4,Campus Central,0
CP-EADMINA1-D6,Campus Paraiso,1
CP-ENFERMERIA-D1,Campus Paraiso,1
CP-INVESTIGACION-D5,Campus Paraiso,1
CP-ODONTOLOGIA-D4,Campus Paraiso,1
CP-POSGRADO-D2,Campus Paraiso,1
CP-TECMEDICO-D3,Campus Paraiso,1
HOS-0A-D05,Campus Hospitalidad,0
