puesto,id_saltos,cercania_saltos,id_latencia,cercania_latencia,id_carga,cercania_carga
1,INTERNET-MPLS,0.001567,INTERNET-MPLS,0.028783,AGRPRI-1A-D10,0.051322
2,DATCC-2A-C3,0.001524,PE2-CENTRAL,0.027895,CC-AETUC-D30,0.051322
3,PE2-CENTRAL,0.001515,DATCC-2A-C3,0.027747,CC-ARQUITECTURA-D107,0.051322
4,FORTIGATE-1800F-CENTRAL,0.001475,FORTIGATE-1800F-CENTRAL,0.026891,CC-BIBLIOTECA-D112,0.051322
5,PE1-CENTRAL,0.001456,PE1-CENTRAL,0.02686,CC-BLOQUE-IQ,0.051322
6,PE1-BALZAY,0.001427,PE1-BALZAY,0.026338,CC-ECONOMIA-D51,0.051322
7,DATCC-2A-C2,0.001406,DATCC-2A-C2,0.025708,CC-FILOSOFIA-A-D108,0.051322
8,ROUTER-CAMPUS-HUAYNA-CAPAC,0.001376,ROUTER-CAMPUS-HUAYNA-CAPAC,0.025446,CC-FILOSOFIA-B-D111,0.051322
9,FORTIGATE-1800F-BALZAY,0.001368,PE2-BALZAY,0.025072,CC-MONJAS-D126,0.051322
10,PE2-BALZAY,0.001355,FORTIGATE-1800F-BALZAY,0.024774,CC-PROMAS-D31,0.051322
