origen,destino,rol,capacidad_mbps,supuesto,trafico_mbps
ROUTER-CAMPUS-YANUNCAY,AGRPRI-1A-D10,inferido,10000.0,"wan/inferido hacia la nube MPLS, asumido 10 Gbps por analogía con los enlaces MPLS documentados",0.0
INTERNET-MPLS,HOS-0A-D05,inferido,10000.0,"wan/inferido hacia la nube MPLS, asumido 10 Gbps por analogía con los enlaces MPLS documentados",0.0
INTERNET-MPLS,CCJ-CJURIDICO-D4,inferido,10000.0,"wan/inferido hacia la nube MPLS, asumido 10 Gbps por analogía con los enlaces MPLS documentados",0.0
DATCC-2A-C2,DATCC-2A-C3,principal,1000.0,"capa no troncal, asumido 1 Gbps por defecto",1890.0
CC-AETUC-D30,DATCC-2A-C2,principal,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1)",74.03
CC-AETUC-D30,DATCC-2A-C3,respaldo,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1) [miembro de par redundante]",0.0
CC-ARQUITECTURA-D107,DATCC-2A-C2,principal,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1)",398.39
CC-ARQUITECTURA-D107,DATCC-2A-C3,respaldo,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1) [miembro de par redundante]",0.0
CC-BIBLIOTECA-D112,DATCC-2A-C2,principal,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1)",458.15
CC-BIBLIOTECA-D112,DATCC-2A-C3,respaldo,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1) [miembro de par redundante]",0.0
CC-BLOQUE-IQ,DATCC-2A-C2,respaldo,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1) [miembro de par redundante]",0.0
CC-BLOQUE-IQ,DATCC-2A-C3,principal,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1)",494.31
CC-PROMAS-D31,DATCC-2A-C2,principal,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1)",117.47
CC-PROMAS-D31,DATCC-2A-C3,respaldo,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1) [miembro de par redundante]",0.0
CC-QUIMICA-D109,DATCC-2A-C2,principal,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1)",103.31
CC-QUIMICA-D109,DATCC-2A-C3,respaldo,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1) [miembro de par redundante]",0.0
CC-ADM-D40,DATCC-2A-C2,principal,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1)",100.93
CC-ADM-D40,DATCC-2A-C3,principal,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1)",82.82
CC-FILOSOFIA-B-D111,DATCC-2A-C3,principal,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1)",181.8
CC-FILOSOFIA-B-D111,DATCC-2A-C2,respaldo,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1) [miembro de par redundante]",0.0
CC-JURISPRUDENCIA-D110,DATCC-2A-C3,principal,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1)",130.98
CC-JURISPRUDENCIA-D110,DATCC-2A-C2,secundario,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1) [miembro de par redundante]",74.45
CC-PSICOLOGIA-D125,DATCC-2A-C3,principal,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1)",265.28
CC-PSICOLOGIA-D125,DATCC-2A-C2,respaldo,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1) [miembro de par redundante]",0.0
CC-FILOSOFIA-A-D108,DATCC-2A-C3,principal,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1)",220.7
CC-FILOSOFIA-A-D108,DATCC-2A-C2,respaldo,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1) [miembro de par redundante]",0.0
CC-MONJAS-D126,DATCC-2A-C3,principal,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1)",256.51
CC-MONJAS-D126,DATCC-2A-C2,respaldo,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1) [miembro de par redundante]",0.0
CC-ECONOMIA-D51,DATCC-2A-C3,principal,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1)",346.27
CC-ECONOMIA-D51,DATCC-2A-C2,respaldo,10000.0,"troncal core-agregacion, 10 Gbps (informe, cap. 2.1) [miembro de par redundante]",0.0
POST-1A-A64,CC-FILOSOFIA-A-D108,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",200.42
CC-ADM-D40,TEAT-0A-A75,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",8.2
CC-ADM-D40,CMED-0A-A42,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",7.97
CC-ADM-D40,CCADM-2A-A43,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",24.53
CC-ADM-D40,CCADM-2A-A44,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",105.36
CC-ADM-D40,CCADM-2A-A45,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",8.28
CC-AETUC-D30,AETUC-0A-A76,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",59.19
CC-AETUC-D30,AETUC-0A-A97,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",37.7
AETUC-0A-A76,AETUCCF-2A-A79,principal,1000.0,"capa no troncal, asumido 1 Gbps por defecto",51.9
CC-ECONOMIA-D51,ECOK2-1A-A52,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",36.58
CC-ECONOMIA-D51,ECOK1-1A-A101,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",5.73
CC-ECONOMIA-D51,ECOK1-1A-A102,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",268.16
CC-FILOSOFIA-A-D108,FILOA-0B-A56,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",39.4
CC-FILOSOFIA-A-D108,FILOA-2A-A55,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",33.78
CC-FILOSOFIA-B-D111,FILOB-2A-A57,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",99.58
CC-FILOSOFIA-B-D111,FILOB-1B-A58,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",63.51
CC-JURISPRUDENCIA-D110,JUR-0A-A59,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",11.47
CC-JURISPRUDENCIA-D110,JUR-0A-A60,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",4.37
CC-JURISPRUDENCIA-D110,JUR-1A-A61,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",60.21
CC-JURISPRUDENCIA-D110,JUR-1A-A62,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",55.03
CC-PSICOLOGIA-D125,PSIC-1A-A53,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",126.27
CC-PSICOLOGIA-D125,PSIC-2B-A54,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",71.19
POST-1A-A64,POST-1A-A65,principal,1000.0,"capa no troncal, asumido 1 Gbps por defecto",34.23
POST-1A-A65,POST-2A-A66,principal,1000.0,"capa no troncal, asumido 1 Gbps por defecto",2.67
CC-ARQUITECTURA-D107,ARQ-0A-A85,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",80.54
ARQ-0A-A85,ARQ-0A-A84,principal,1000.0,"capa no troncal, asumido 1 Gbps por defecto",2.94
CC-ARQUITECTURA-D107,ARQ-0B-A87,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",9.87
CC-ARQUITECTURA-D107,ARQ-1C-A86,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",9.98
CC-ARQUITECTURA-D107,ARQ-1C-A96,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",51.55
CC-ARQUITECTURA-D107,ARQ-0D-A88,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",47.14
ARQ-0D-A88,ARQ-0D-A89,principal,1000.0,"capa no troncal, asumido 1 Gbps por defecto",45.32
CC-ARQUITECTURA-D107,ARQ-0D-A90,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",2.96
CC-ARQUITECTURA-D107,ARQ-1E-A91,principal,1000.0,"agregacion-acceso, asumido 1 Gbps (uplink Ethernet estandar, no documentado por el informe)",96.32
