campus,origen,destino,capacidad_mbps
Campus Balzay,AUL1-2A-A110,BAL-AUL1-D4,1000
Campus Balzay,AUL1-2A-A111,BAL-AUL1-D4,1000
Campus Balzay,AUL1-3A-A104,BAL-AUL1-D4,1000
Campus Balzay,AUL1-3A-A112,BAL-AUL1-D4,1000
Campus Balzay,AUL2-01A-A124-SUBLAB2,BAL-AUL2-D1,1000
Campus Balzay,AUL2-01A-A24-SUB,BAL-AUL2-D1,1000
Campus Balzay,AUL2-0A-A106,BAL-AUL2-D1,1000
Campus Balzay,AUL2-0A-A118,BAL-AUL2-D1,1000
Campus Balzay,AUL2-0A-A119,BAL-AUL2-D1,1000
Campus Balzay,AUL2-0A-A120,BAL-AUL2-D1,1000
Campus Balzay,AUL2-0A-A121,BAL-AUL2-D1,1000
Campus Balzay,AUL2-0A-A122,BAL-AUL2-D1,1000
Campus Balzay,AUL2-0A-A123,BAL-AUL2-D1,1000
Campus Balzay,MICRORED-1A-A109,BAL-AUL2-D1,1000
Campus Balzay,CEA-0A-A108,BAL-CENTEC-D2,1000
Campus Balzay,CTBLOQ1-0A-A101,BAL-CENTEC-D2,1000
Campus Balzay,CTBLOQ2-0A-A102,BAL-CENTEC-D2,1000
Campus Balzay,CTBLOQ3-0A-A103,BAL-CENTEC-D2,1000
Campus Balzay,VLIR-0A-A107,BAL-CENTEC-D2,1000
Campus Balzay,QUIN-1A-A117,BAL-EADM-D3,1000
Campus Balzay,EA-0A-A114,CB-EADMI-D6,1000
Campus Balzay,EA-1A-A115,CB-EADMI-D6,1000
Campus Balzay,EA-1A-A116,CB-EADMI-D6,1000
Campus Central,CCJ-1A-A10,CCJ-CJURIDICO-D4,1000
Campus Central,CCJ-1A-A11,CCJ-CJURIDICO-D4,1000
Campus Central,DATCC-2A-C2,FORTIGATE-1800F-CENTRAL,10000
Campus Central,DATCC-2A-C3,FORTIGATE-1800F-CENTRAL,10000
Campus Central,DATCC-2A-C3,PE2-CENTRAL,20000
Campus Central,ROUTER-CAMPUS-CENTRO-HISTORICO,ROUTER-L2TP-BALZAY,1000
Campus Central,ROUTER-CAMPUS-MUSEO,ROUTER-L2TP-BALZAY,1000
Campus Hospitalidad,HOS-0A-A10,HOS-0A-D05,1000
Campus Hospitalidad,HOS-0A-A13,HOS-0A-D05,1000
Campus Hospitalidad,HOS-1A-A12,HOS-0A-D05,1000
Campus Hospitalidad,HOS-2A-A11,HOS-0A-D05,1000
Campus Paraiso,CPAR-C10,ROUTER-CAMPUS-HUAYNA-CAPAC,1000
Campus Yanuncay,AGRPRI-1A-D10,ROUTER-CAMPUS-YANUNCAY,10000
Sede Centro Historico,SW-ARUBA-CENTRO-HISTORICO,DATCC-2A-C3,10000
Sede Centro Historico,ROUTER-CAMPUS-CENTRO-HISTORICO,ROUTER-L2TP-BALZAY,1000
Sede Museo,SW-ARUBA-MUSEO,DATCC-2A-C2,10000
Sede Museo,ROUTER-CAMPUS-MUSEO,ROUTER-L2TP-BALZAY,1000
