τ,nodo,caidos,fraccion_afectada,fraccion_capacidad_afectada
0.0,DATCC-2A-C3,12,0.06779661016949153,0.6833527357392316
0.0,CPAR-C10,1,0.005649717514124294,0.0710128055878929
0.0,ROUTER-CAMPUS-HUAYNA-CAPAC,5,0.02824858757062147,0.12223515715948778
0.0,INTERNET-MPLS,12,0.06779661016949153,0.5413271245634459
0.0,PE2-CENTRAL,10,0.05649717514124294,0.5331781140861467
0.0,DT-0A-C13,11,0.062146892655367235,0.6693830034924331
0.0,FORTIGATE-1800F-CENTRAL,12,0.06779661016949153,0.5320139697322468
0.0,DATCC-2A-C2,11,0.062146892655367235,0.670547147846333
0.0,FORTIGATE-1800F-BALZAY,13,0.07344632768361582,0.5436554132712457
0.0,PE2-BALZAY,10,0.05649717514124294,0.4935972060535506
0.0,ROUTER-CAMPUS-YANUNCAY,1,0.005649717514124294,0.034924330616996506
0.0,AGRPRI-1A-D10,1,0.005649717514124294,0.024447031431897557
0.0,CC-ARQUITECTURA-D107,1,0.005649717514124294,0.03259604190919674
0.0,BAL-AUL2-D1,1,0.005649717514124294,0.034924330616996506
0.0,ROUTER-CAMPUS-PARAISO,7,0.03954802259887006,0.2619324796274738
0.01,DATCC-2A-C3,13,0.07344632768361582,0.7415599534342259
0.01,CPAR-C10,1,0.005649717514124294,0.0710128055878929
0.01,ROUTER-CAMPUS-HUAYNA-CAPAC,1,0.005649717514124294,0.024447031431897557
0.01,INTERNET-MPLS,12,0.06779661016949153,0.5413271245634459
0.01,PE2-CENTRAL,9,0.05084745762711865,0.48544819557625146
0.01,DT-0A-C13,9,0.05084745762711865,0.36554132712456344
0.01,FORTIGATE-1800F-CENTRAL,12,0.06779661016949153,0.5320139697322468
0.01,DATCC-2A-C2,11,0.062146892655367235,0.670547147846333
0.01,FORTIGATE-1800F-BALZAY,13,0.07344632768361582,0.5436554132712457
0.01,PE2-BALZAY,9,0.05084745762711865,0.3410942956926659
0.01,ROUTER-CAMPUS-YANUNCAY,1,0.005649717514124294,0.034924330616996506
0.01,AGRPRI-1A-D10,1,0.005649717514124294,0.024447031431897557
0.01,CC-ARQUITECTURA-D107,1,0.005649717514124294,0.03259604190919674
0.01,BAL-AUL2-D1,1,0.005649717514124294,0.034924330616996506
0.01,ROUTER-CAMPUS-PARAISO,9,0.05084745762711865,0.44935972060535506
0.02,DATCC-2A-C3,13,0.07344632768361582,0.7415599534342259
0.02,CPAR-C10,1,0.005649717514124294,0.0710128055878929
0.02,ROUTER-CAMPUS-HUAYNA-CAPAC,1,0.005649717514124294,0.024447031431897557
0.02,INTERNET-MPLS,12,0.06779661016949153,0.5413271245634459
0.02,PE2-CENTRAL,7,0.03954802259887006,0.43771827706635624
0.02,DT-0A-C13,8,0.04519774011299435,0.3538998835855646
0.02,FORTIGATE-1800F-CENTRAL,12,0.06779661016949153,0.5320139697322468
0.02,DATCC-2A-C2,9,0.05084745762711865,0.5529685681024447
0.02,FORTIGATE-1800F-BALZAY,13,0.07344632768361582,0.5436554132712457
0.02,PE2-BALZAY,8,0.04519774011299435,0.32945285215366704
0.02,ROUTER-CAMPUS-YANUNCAY,1,0.005649717514124294,0.034924330616996506
0.02,AGRPRI-1A-D10,1,0.005649717514124294,0.024447031431897557
0.02,CC-ARQUITECTURA-D107,1,0.005649717514124294,0.03259604190919674
0.02,BAL-AUL2-D1,1,0.005649717514124294,0.034924330616996506
0.02,ROUTER-CAMPUS-PARAISO,9,0.05084745762711865,0.44935972060535506
0.03,DATCC-2A-C3,11,0.062146892655367235,0.6239813736903376
0.03,CPAR-C10,1,0.005649717514124294,0.0710128055878929
0.03,ROUTER-CAMPUS-HUAYNA-CAPAC,1,0.005649717514124294,0.024447031431897557
0.03,INTERNET-MPLS,12,0.06779661016949153,0.5413271245634459
0.03,PE2-CENTRAL,6,0.03389830508474576,0.3911525029103609
0.03,DT-0A-C13,8,0.04519774011299435,0.3538998835855646
0.03,FORTIGATE-1800F-CENTRAL,12,0.06779661016949153,0.5320139697322468
0.03,DATCC-2A-C2,8,0.04519774011299435,0.5064027939464494
0.03,FORTIGATE-1800F-BALZAY,13,0.07344632768361582,0.5436554132712457
0.03,PE2-BALZAY,8,0.04519774011299435,0.32945285215366704
0.03,ROUTER-CAMPUS-YANUNCAY,1,0.005649717514124294,0.034924330616996506
0.03,AGRPRI-1A-D10,1,0.005649717514124294,0.024447031431897557
0.03,CC-ARQUITECTURA-D107,1,0.005649717514124294,0.03259604190919674
0.03,BAL-AUL2-D1,1,0.005649717514124294,0.034924330616996506
0.03,ROUTER-CAMPUS-PARAISO,8,0.04519774011299435,0.2968568102444703
0.05,DATCC-2A-C3,9,0.05084745762711865,0.519208381839348
0.05,CPAR-C10,1,0.005649717514124294,0.0710128055878929
0.05,ROUTER-CAMPUS-HUAYNA-CAPAC,1,0.005649717514124294,0.024447031431897557
0.05,INTERNET-MPLS,11,0.062146892655367235,0.38882421420256114
0.05,PE2-CENTRAL,6,0.03389830508474576,0.3911525029103609
0.05,DT-0A-C13,6,0.03389830508474576,0.24912689173457508
0.05,FORTIGATE-1800F-CENTRAL,12,0.06779661016949153,0.5320139697322468
0.05,DATCC-2A-C2,7,0.03954802259887006,0.4481955762514552
0.05,FORTIGATE-1800F-BALZAY,11,0.062146892655367235,0.3329452852153667
0.05,PE2-BALZAY,7,0.03954802259887006,0.2712456344586729
0.05,ROUTER-CAMPUS-YANUNCAY,1,0.005649717514124294,0.034924330616996506
0.05,AGRPRI-1A-D10,1,0.005649717514124294,0.024447031431897557
0.05,CC-ARQUITECTURA-D107,1,0.005649717514124294,0.03259604190919674
0.05,BAL-AUL2-D1,1,0.005649717514124294,0.034924330616996506
0.05,ROUTER-CAMPUS-PARAISO,3,0.01694915254237288,0.1629802095459837
0.1,DATCC-2A-C3,9,0.05084745762711865,0.519208381839348
0.1,CPAR-C10,1,0.005649717514124294,0.0710128055878929
0.1,ROUTER-CAMPUS-HUAYNA-CAPAC,1,0.005649717514124294,0.024447031431897557
0.1,INTERNET-MPLS,10,0.05649717514124294,0.38766006984866125
0.1,PE2-CENTRAL,6,0.03389830508474576,0.3911525029103609
0.1,DT-0A-C13,6,0.03389830508474576,0.24912689173457508
0.1,FORTIGATE-1800F-CENTRAL,10,0.05649717514124294,0.41443538998835855
0.1,DATCC-2A-C2,6,0.03389830508474576,0.40162980209545984
0.1,FORTIGATE-1800F-BALZAY,11,0.062146892655367235,0.3329452852153667
0.1,PE2-BALZAY,6,0.03389830508474576,0.22467986030267753
0.1,ROUTER-CAMPUS-YANUNCAY,1,0.005649717514124294,0.034924330616996506
0.1,AGRPRI-1A-D10,1,0.005649717514124294,0.024447031431897557
0.1,CC-ARQUITECTURA-D107,1,0.005649717514124294,0.03259604190919674
0.1,BAL-AUL2-D1,1,0.005649717514124294,0.034924330616996506
0.1,ROUTER-CAMPUS-PARAISO,3,0.01694915254237288,0.1629802095459837
0.15,DATCC-2A-C3,9,0.05084745762711865,0.519208381839348
0.15,CPAR-C10,1,0.005649717514124294,0.0710128055878929
0.15,ROUTER-CAMPUS-HUAYNA-CAPAC,1,0.005649717514124294,0.024447031431897557
0.15,INTERNET-MPLS,12,0.06779661016949153,0.3911525029103609
0.15,PE2-CENTRAL,6,0.03389830508474576,0.3911525029103609
0.15,DT-0A-C13,6,0.03389830508474576,0.24912689173457508
0.15,FORTIGATE-1800F-CENTRAL,9,0.05084745762711865,0.2619324796274738
0.15,DATCC-2A-C2,6,0.03389830508474576,0.40162980209545984
0.15,FORTIGATE-1800F-BALZAY,11,0.062146892655367235,0.3329452852153667
0.15,PE2-BALZAY,6,0.03389830508474576,0.22467986030267753
0.15,ROUTER-CAMPUS-YANUNCAY,1,0.005649717514124294,0.034924330616996506
0.15,AGRPRI-1A-D10,1,0.005649717514124294,0.024447031431897557
0.15,CC-ARQUITECTURA-D107,1,0.005649717514124294,0.03259604190919674
0.15,BAL-AUL2-D1,1,0.005649717514124294,0.034924330616996506
0.15,ROUTER-CAMPUS-PARAISO,3,0.01694915254237288,0.1629802095459837
0.2,DATCC-2A-C3,8,0.04519774011299435,0.47264260768335276
0.2,CPAR-C10,1,0.005649717514124294,0.0710128055878929
0.2,ROUTER-CAMPUS-HUAYNA-CAPAC,1,0.005649717514124294,0.024447031431897557
0.2,INTERNET-MPLS,12,0.06779661016949153,0.3911525029103609
0.2,PE2-CENTRAL,9,0.05084745762711865,0.42607683352735737
0.2,DT-0A-C13,7,0.03954802259887006,0.25029103608847497
0.2,FORTIGATE-1800F-CENTRAL,9,0.05084745762711865,0.2619324796274738
0.2,DATCC-2A-C2,6,0.03389830508474576,0.40162980209545984
0.2,FORTIGATE-1800F-BALZAY,9,0.05084745762711865,0.2270081490104773
0.2,PE2-BALZAY,15,0.0847457627118644,0.7182770663562281
0.2,ROUTER-CAMPUS-YANUNCAY,1,0.005649717514124294,0.034924330616996506
0.2,AGRPRI-1A-D10,1,0.005649717514124294,0.024447031431897557
0.2,CC-ARQUITECTURA-D107,1,0.005649717514124294,0.03259604190919674
