nodo,τ_c,max_fraccion_observada,τ_c_capacidad,max_fraccion_capacidad_observada
PE2-BALZAY,,0.0847457627118644,0.75,0.7182770663562281
DATCC-2A-C3,,0.07344632768361582,1.0,0.7415599534342259
FORTIGATE-1800F-BALZAY,,0.07344632768361582,0.75,0.5436554132712457
INTERNET-MPLS,,0.06779661016949153,0.4,0.5413271245634459
PE2-CENTRAL,,0.06779661016949153,1.0,0.6833527357392316
FORTIGATE-1800F-CENTRAL,,0.06779661016949153,0.75,0.5320139697322468
DT-0A-C13,,0.062146892655367235,0.75,0.6693830034924331
DATCC-2A-C2,,0.062146892655367235,1.0,0.670547147846333
ROUTER-CAMPUS-PARAISO,,0.05084745762711865,0.03,0.44935972060535506
ROUTER-CAMPUS-HUAYNA-CAPAC,,0.02824858757062147,,0.12223515715948778
CPAR-C10,,0.005649717514124294,,0.0710128055878929
ROUTER-CAMPUS-YANUNCAY,,0.005649717514124294,,0.034924330616996506
AGRPRI-1A-D10,,0.005649717514124294,,0.024447031431897557
CC-ARQUITECTURA-D107,,0.005649717514124294,,0.03259604190919674
BAL-AUL2-D1,,0.005649717514124294,,0.034924330616996506
